smiles_A,smiles_B,rA,rB,type,value
*c1cc(F)c(*)cc1F,*c1c(O)cc(O)c(*)c1O,0.5,0.5,alternating,1.878901833
*c1cc(F)c(*)cc1F,*c1c(O)cc(O)c(*)c1O,0.5,0.5,block,2.329229219
*c1cc(F)c(*)cc1F,*c1c(O)cc(O)c(*)c1O,0.5,0.5,random,2.106771614
*c1cc(F)c(*)cc1F,*c1cc(C#N)c(*)cc1F,0.5,0.5,alternating,2.893603439
*c1cc(F)c(*)cc1F,*c1cc(C#N)c(*)cc1F,0.5,0.5,block,2.896976243
*c1cc(F)c(*)cc1F,*c1cc(C#N)c(*)cc1F,0.5,0.5,random,2.902965647
*c1cc(F)c(*)cc1F,*c1cc(Cl)c(C)c(*)c1N,0.5,0.5,alternating,1.82088277
*c1cc(F)c(*)cc1F,*c1cc(Cl)c(C)c(*)c1N,0.5,0.5,block,2.308256514
*c1cc(F)c(*)cc1F,*c1cc(Cl)c(C)c(*)c1N,0.5,0.5,random,2.045682891
*c1cc(F)c(*)cc1F,*c1ccc(OCC(=O)Cl)c(*)c1,0.5,0.5,alternating,2.492052244
*c1cc(F)c(*)cc1F,*c1ccc(OCC(=O)Cl)c(*)c1,0.5,0.5,block,2.656351421
*c1cc(F)c(*)cc1F,*c1ccc(OCC(=O)Cl)c(*)c1,0.5,0.5,random,2.551787033
*c1cc(F)c(*)cc1F,*c1cc(*)c(C(=O)OC)nc1N,0.5,0.5,alternating,2.620096165
*c1cc(F)c(*)cc1F,*c1cc(*)c(C(=O)OC)nc1N,0.5,0.5,block,2.659600049
*c1cc(F)c(*)cc1F,*c1cc(*)c(C(=O)OC)nc1N,0.5,0.5,random,2.638105763
*c1cc(F)c(*)cc1F,*c1nc(*)c2ccccc2n1,0.5,0.5,alternating,3.284249512
*c1cc(F)c(*)cc1F,*c1nc(*)c2ccccc2n1,0.5,0.5,block,3.357974616
*c1cc(F)c(*)cc1F,*c1nc(*)c2ccccc2n1,0.5,0.5,random,3.335307778
*c1cc(F)c(*)cc1F,*c1cc(*)c(C=O)c(F)c1,0.5,0.5,alternating,3.363149241
*c1cc(F)c(*)cc1F,*c1cc(*)c(C=O)c(F)c1,0.5,0.5,block,3.360273486
*c1cc(F)c(*)cc1F,*c1cc(*)c(C=O)c(F)c1,0.5,0.5,random,3.352873915
*c1cc(F)c(*)cc1F,*c1cc(Cl)c(*)cc1C,0.5,0.5,alternating,2.14971071
*c1cc(F)c(*)cc1F,*c1cc(Cl)c(*)cc1C,0.5,0.5,block,2.372742009
*c1cc(F)c(*)cc1F,*c1cc(Cl)c(*)cc1C,0.5,0.5,random,2.247535503
*c1cc(F)c(*)cc1F,*c1ccc(*)c(C(=O)OC)n1,0.5,0.5,alternating,2.968651094
*c1cc(F)c(*)cc1F,*c1ccc(*)c(C(=O)OC)n1,0.5,0.5,block,2.955798803
*c1cc(F)c(*)cc1F,*c1ccc(*)c(C(=O)OC)n1,0.5,0.5,random,2.947352228
*c1cc(F)c(*)cc1F,*c1ccc2c3ccc(*)cc3n(-c3ccccc3)c2c1,0.5,0.5,alternating,2.213825545
*c1cc(F)c(*)cc1F,*c1ccc2c3ccc(*)cc3n(-c3ccccc3)c2c1,0.5,0.5,block,2.389546601
*c1cc(F)c(*)cc1F,*c1ccc2c3ccc(*)cc3n(-c3ccccc3)c2c1,0.5,0.5,random,2.285360692
*c1cc(F)c(*)cc1F,*c1cnc(*)c(C(=O)OCC)n1,0.5,0.5,alternating,3.492656867
*c1cc(F)c(*)cc1F,*c1cnc(*)c(C(=O)OCC)n1,0.5,0.5,block,3.648850781
*c1cc(F)c(*)cc1F,*c1cnc(*)c(C(=O)OCC)n1,0.5,0.5,random,3.487592579
*c1cc(F)c(*)cc1F,*c1cc(C(F)(F)F)nc(*)c1N,0.5,0.5,alternating,2.46180326
*c1cc(F)c(*)cc1F,*c1cc(C(F)(F)F)nc(*)c1N,0.5,0.5,block,2.590784684
*c1cc(F)c(*)cc1F,*c1cc(C(F)(F)F)nc(*)c1N,0.5,0.5,random,2.540173151
*c1cc(F)c(*)cc1F,*c1cc(*)c2c(c1)C(C)(C)C(=O)N2,0.5,0.5,alternating,2.209434194
*c1cc(F)c(*)cc1F,*c1cc(*)c2c(c1)C(C)(C)C(=O)N2,0.5,0.5,block,2.38561791
*c1cc(F)c(*)cc1F,*c1cc(*)c2c(c1)C(C)(C)C(=O)N2,0.5,0.5,random,2.280999057
*c1cc(F)c(*)cc1F,*c1cc(*)cc(NC(C)=O)c1,0.5,0.5,alternating,2.159668018
*c1cc(F)c(*)cc1F,*c1cc(*)cc(NC(C)=O)c1,0.5,0.5,block,2.366173576
*c1cc(F)c(*)cc1F,*c1cc(*)cc(NC(C)=O)c1,0.5,0.5,random,2.23995396
*c1cc(F)c(*)cc1F,*c1ccc(*)c(NC(=O)c2ccccc2)c1,0.5,0.5,alternating,2.37193309
*c1cc(F)c(*)cc1F,*c1ccc(*)c(NC(=O)c2ccccc2)c1,0.5,0.5,block,2.467357566
*c1cc(F)c(*)cc1F,*c1ccc(*)c(NC(=O)c2ccccc2)c1,0.5,0.5,random,2.41173525
