smiles_A,smiles_B,rA,rB,type,value
*c1cc(F)c(*)cc1F,*c1c(O)cc(O)c(*)c1O,0.5,0.5,alternating,6.261997174
*c1cc(F)c(*)cc1F,*c1c(O)cc(O)c(*)c1O,0.5,0.5,block,6.210397443
*c1cc(F)c(*)cc1F,*c1c(O)cc(O)c(*)c1O,0.5,0.5,random,6.272161149
*c1cc(F)c(*)cc1F,*c1cc(C#N)c(*)cc1F,0.5,0.5,alternating,7.170896774
*c1cc(F)c(*)cc1F,*c1cc(C#N)c(*)cc1F,0.5,0.5,block,7.142086292
*c1cc(F)c(*)cc1F,*c1cc(C#N)c(*)cc1F,0.5,0.5,random,7.160923402
*c1cc(F)c(*)cc1F,*c1cc(Cl)c(C)c(*)c1N,0.5,0.5,alternating,5.873999587
*c1cc(F)c(*)cc1F,*c1cc(Cl)c(C)c(*)c1N,0.5,0.5,block,5.852000851
*c1cc(F)c(*)cc1F,*c1cc(Cl)c(C)c(*)c1N,0.5,0.5,random,5.866900774
*c1cc(F)c(*)cc1F,*c1ccc(OCC(=O)Cl)c(*)c1,0.5,0.5,alternating,6.545632672
*c1cc(F)c(*)cc1F,*c1ccc(OCC(=O)Cl)c(*)c1,0.5,0.5,block,6.507350301
*c1cc(F)c(*)cc1F,*c1ccc(OCC(=O)Cl)c(*)c1,0.5,0.5,random,6.496080422
*c1cc(F)c(*)cc1F,*c1cc(*)c(C(=O)OC)nc1N,0.5,0.5,alternating,6.206529736
*c1cc(F)c(*)cc1F,*c1cc(*)c(C(=O)OC)nc1N,0.5,0.5,block,6.210391667
*c1cc(F)c(*)cc1F,*c1cc(*)c(C(=O)OC)nc1N,0.5,0.5,random,6.204970975
*c1cc(F)c(*)cc1F,*c1nc(*)c2ccccc2n1,0.5,0.5,alternating,6.81807579
*c1cc(F)c(*)cc1F,*c1nc(*)c2ccccc2n1,0.5,0.5,block,6.704045747
*c1cc(F)c(*)cc1F,*c1nc(*)c2ccccc2n1,0.5,0.5,random,6.773855957
*c1cc(F)c(*)cc1F,*c1cc(*)c(C=O)c(F)c1,0.5,0.5,alternating,7.096483871
*c1cc(F)c(*)cc1F,*c1cc(*)c(C=O)c(F)c1,0.5,0.5,block,7.094953651
*c1cc(F)c(*)cc1F,*c1cc(*)c(C=O)c(F)c1,0.5,0.5,random,7.093608715
*c1cc(F)c(*)cc1F,*c1cc(Cl)c(*)cc1C,0.5,0.5,alternating,6.917888152
*c1cc(F)c(*)cc1F,*c1cc(Cl)c(*)cc1C,0.5,0.5,block,6.919271552
*c1cc(F)c(*)cc1F,*c1cc(Cl)c(*)cc1C,0.5,0.5,random,6.926400681
*c1cc(F)c(*)cc1F,*c1ccc(*)c(C(=O)OC)n1,0.5,0.5,alternating,6.996153403
*c1cc(F)c(*)cc1F,*c1ccc(*)c(C(=O)OC)n1,0.5,0.5,block,7.009613345
*c1cc(F)c(*)cc1F,*c1ccc(*)c(C(=O)OC)n1,0.5,0.5,random,6.994517625
*c1cc(F)c(*)cc1F,*c1ccc2c3ccc(*)cc3n(-c3ccccc3)c2c1,0.5,0.5,alternating,5.756618627
*c1cc(F)c(*)cc1F,*c1ccc2c3ccc(*)cc3n(-c3ccccc3)c2c1,0.5,0.5,block,5.630627432
*c1cc(F)c(*)cc1F,*c1ccc2c3ccc(*)cc3n(-c3ccccc3)c2c1,0.5,0.5,random,5.710956066
*c1cc(F)c(*)cc1F,*c1cnc(*)c(C(=O)OCC)n1,0.5,0.5,alternating,6.942039556
*c1cc(F)c(*)cc1F,*c1cnc(*)c(C(=O)OCC)n1,0.5,0.5,block,6.916876801
*c1cc(F)c(*)cc1F,*c1cnc(*)c(C(=O)OCC)n1,0.5,0.5,random,6.934000336
*c1cc(F)c(*)cc1F,*c1cc(C(F)(F)F)nc(*)c1N,0.5,0.5,alternating,6.159904834
*c1cc(F)c(*)cc1F,*c1cc(C(F)(F)F)nc(*)c1N,0.5,0.5,block,5.878629798
*c1cc(F)c(*)cc1F,*c1cc(C(F)(F)F)nc(*)c1N,0.5,0.5,random,6.002879973
*c1cc(F)c(*)cc1F,*c1cc(*)c2c(c1)C(C)(C)C(=O)N2,0.5,0.5,alternating,6.301785391
*c1cc(F)c(*)cc1F,*c1cc(*)c2c(c1)C(C)(C)C(=O)N2,0.5,0.5,block,6.225431928
*c1cc(F)c(*)cc1F,*c1cc(*)c2c(c1)C(C)(C)C(=O)N2,0.5,0.5,random,6.284781197
*c1cc(F)c(*)cc1F,*c1cc(*)cc(NC(C)=O)c1,0.5,0.5,alternating,6.480160565
*c1cc(F)c(*)cc1F,*c1cc(*)cc(NC(C)=O)c1,0.5,0.5,block,6.455628828
*c1cc(F)c(*)cc1F,*c1cc(*)cc(NC(C)=O)c1,0.5,0.5,random,6.471769304
*c1cc(F)c(*)cc1F,*c1ccc(*)c(NC(=O)c2ccccc2)c1,0.5,0.5,alternating,6.458323421
