ID,B,C,D,rB,rC,rD,value
1452,*CCC(=O)OCCOC(=O)CCN(*)CCCN(CC)CC,*CCC(=O)OCCOC(=O)CCN(*)CCCCCO,*CCC(=O)OCCOC(=O)CCN(*)CCOCCOCCOCCO,0.4,0.4,0.2,0.84
1960,*CCC(=O)OCCOC(=O)CCN(*)CCCN(CCCC)CCCC,*CCC(=O)OCCOC(=O)CCN(*)CCC(C)C,*CCC(=O)OCCOC(=O)CCN(*)C(C)C(N)=O,0.2,0.2,0.6,0.88
1961,*CCC(=O)OCCOC(=O)CCN(*)CCCN(CCCC)CCCC,*CCC(=O)OCCOC(=O)CCN(*)CCC(C)C,*CCC(=O)OCCOC(=O)CCN(*)C(C)C(N)=O,0.2,0.4,0.4,0.91
1962,*CCC(=O)OCCOC(=O)CCN(*)CCCN(CCCC)CCCC,*CCC(=O)OCCOC(=O)CCN(*)CCC(C)C,*CCC(=O)OCCOC(=O)CCN(*)C(C)C(N)=O,0.2,0.6,0.2,1
1963,*CCC(=O)OCCOC(=O)CCN(*)CCCN(CCCC)CCCC,*CCC(=O)OCCOC(=O)CCN(*)CCC(C)C,*CCC(=O)OCCOC(=O)CCN(*)C(C)C(N)=O,0.4,0.2,0.4,0.85
1964,*CCC(=O)OCCOC(=O)CCN(*)CCCN(CCCC)CCCC,*CCC(=O)OCCOC(=O)CCN(*)CCC(C)C,*CCC(=O)OCCOC(=O)CCN(*)C(C)C(N)=O,0.4,0.4,0.2,0.84
1965,*CCC(=O)OCCOC(=O)CCN(*)CCCN(CCCC)CCCC,*CCC(=O)OCCOC(=O)CCN(*)CCC(C)C,*CCC(=O)OCCOC(=O)CCN(*)C(C)C(N)=O,0.6,0.1,0.3,0.8
1966,*CCC(=O)OCCOC(=O)CCN(*)CCCN(CCCC)CCCC,*CCC(=O)OCCOC(=O)CCN(*)CCC(C)C,*CCC(=O)OCCOC(=O)CCN(*)C(C)C(N)=O,0.6,0.3,0.1,0.79
1967,*CCC(=O)OCCOC(=O)CCN(*)CCCN(CCCC)CCCC,*CCC(=O)OCCOC(=O)CCN(*)CCC(C)C,*CCC(=O)OCCOC(=O)CCN(*)C(C)C(N)=O,0.8,0.1,0.1,0.83
3184,*CCC(=O)OCCOC(=O)CCN(*)CCN1CCCCC1,*CCC(=O)OCCOC(=O)CCN(*)CCCCCCCCCC,*CCC(=O)OCCOC(=O)CCN(*)CCOCCOCCOCCOCCOCCO,0.2,0.2,0.6,0.981666667
4512,*CCC(=O)OCCOC(=O)CCN(*)CCCN1CCN(C)CC1,*CCC(=O)OCCOC(=O)CCN(*)CCCCCO,*CCC(=O)OCCOC(=O)CCN(*)CCOCCOCCO,0.2,0.2,0.6,0.83
4594,*CCC(=O)OCCOC(=O)CCN(*)CCCN1CCN(C)CC1,*CCC(=O)OCCOC(=O)CCN(*)CC(F)(F)C(F)(F)C(F)(F)F,*CCC(=O)OCCOC(=O)CCN(*)CC(C)(C)C(N)=O,0.2,0.6,0.2,0.83
4802,*CCC(=O)OCCOC(=O)CCN(*)Cc1ccncc1,*CCC(=O)OCCOC(=O)CCN(*)CCC1CCCCC1,*CCC(=O)OCCOC(=O)CCN(*)CCOCCOCCO,0.2,0.6,0.2,0.79
4892,*CCC(=O)OCCOC(=O)CCN(*)Cc1ccncc1,*CCC(=O)OCCOC(=O)CCN(*)Cc1ccccc1,*CCC(=O)OCCOC(=O)CCN(*)C(C)C(N)=O,0.4,0.4,0.2,0.75
5139,*CCC(=O)OCCOC(=O)CCN(*)Cc1ccncc1,*CCC(=O)OCCOC(=O)CCN(*)Cc1ccc(OC)cc1,*CCC(=O)OCCOC(=O)CCN(*)CCOCCOCCO,0.4,0.2,0.4,0.854
5142,*CCC(=O)OCCOC(=O)CCN(*)Cc1ccncc1,*CCC(=O)OCCOC(=O)CCN(*)Cc1ccc(OC)cc1,*CCC(=O)OCCOC(=O)CCN(*)CCOCCOCCO,0.6,0.3,0.1,0.853
5143,*CCC(=O)OCCOC(=O)CCN(*)Cc1ccncc1,*CCC(=O)OCCOC(=O)CCN(*)Cc1ccc(OC)cc1,*CCC(=O)OCCOC(=O)CCN(*)CCOCCOCCO,0.8,0.1,0.1,0.805
5624,*CCC(=O)OCCOC(=O)CCN(*)CCc1cccnc1,*CCC(=O)OCCOC(=O)CCN(*)Cc1ccccc1,*CCC(=O)OCCOC(=O)CCN(*)CCOCCOCCOCCO,0.2,0.2,0.6,0.75
6060,*CCC(=O)OCCOC(=O)CCN(*)CCc1cccnc1,*CCC(=O)OCCOC(=O)CCN(*)CCCCCO,*CCC(=O)OCCOC(=O)CCN(*)CCOCCOCCOCCO,0.4,0.4,0.2,0.76
6368,*CCC(=O)OCCOC(=O)CCN(*)CCN1CCOCC1,*CCC(=O)OCCOC(=O)CCN(*)CCC1CCCCC1,*CCC(=O)OCCOC(=O)CCN(*)CC(C)(C)C(N)=O,0.2,0.2,0.6,0.922666667
6748,*CCC(=O)OCCOC(=O)CCN(*)CCN1CCOCC1,*CCC(=O)OCCOC(=O)CCN(*)CC(C)(C)O,*CCC(=O)OCCOC(=O)CCN(*)CC(O)CO,0.4,0.4,0.2,0.957666667
6999,*CCC(=O)OCCOC(=O)CCN(*)CCN,*CCC(=O)OCCOC(=O)CCN(*)CCCCCCCC,*CCC(=O)OCCOC(=O)CCN(*)CC(C)(C)C(N)=O,0.8,0.1,0.1,0.959
7237,*CCC(=O)OCCOC(=O)CCN(*)CCN,*CCC(=O)OCCOC(=O)CCN(*)CCCc1ccccc1,*CCC(=O)OCCOC(=O)CCN(*)CC(C)(C)C(N)=O,0.6,0.1,0.3,0.83
7238,*CCC(=O)OCCOC(=O)CCN(*)CCN,*CCC(=O)OCCOC(=O)CCN(*)CCCc1ccccc1,*CCC(=O)OCCOC(=O)CCN(*)CC(C)(C)C(N)=O,0.6,0.3,0.1,0.82
7239,*CCC(=O)OCCOC(=O)CCN(*)CCN,*CCC(=O)OCCOC(=O)CCN(*)CCCc1ccccc1,*CCC(=O)OCCOC(=O)CCN(*)CC(C)(C)C(N)=O,0.8,0.1,0.1,0.825
7394,*CCC(=O)OCCOC(=O)CCN(*)CCN,*CCC(=O)OCCOC(=O)CCN(*)CCC(OCC)OCC,*CCC(=O)OCCOC(=O)CCN(*)CCOCCOCCO,0.2,0.6,0.2,0.955333333
7624,*CCC(=O)OCCOC(=O)CCN(*)CCN,*CCC(=O)OCCOC(=O)CCN(*)CCCCCO,*CCC(=O)OCCOC(=O)CCN(*)C(C)C(N)=O,0.2,0.2,0.6,0.892333333
7671,*CCC(=O)OCCOC(=O)CCN(*)CCN,*CCC(=O)OCCOC(=O)CCN(*)CC(F)(F)C(F)(F)C(F)(F)F,*CCC(=O)OCCOC(=O)CCN(*)CC(C)(C)C(N)=O,0.8,0.1,0.1,0.903
7679,*CCC(=O)OCCOC(=O)CCN(*)CCN,*CCC(=O)OCCOC(=O)CCN(*)CC(F)(F)C(F)(F)C(F)(F)F,*CCC(=O)OCCOC(=O)CCN(*)C(C)C(N)=O,0.8,0.1,0.1,0.904
7746,*CCC(=O)OCCOC(=O)CCN(*)CC(C)(C)CN,*CCC(=O)OCCOC(=O)CCN(*)CCCCCCCC,*CCC(=O)OCCOC(=O)CCN(*)CCOCCOCCOCCOCCOCCO,0.2,0.6,0.2,0.908666667
8202,*CCC(=O)OCCOC(=O)CCN(*)CC(C)(C)CN,*CCC(=O)OCCOC(=O)CCN(*)CCC(OCC)OCC,*CCC(=O)OCCOC(=O)CCN(*)C(C)C(N)=O,0.2,0.6,0.2,0.904
8522,*CCC(=O)OCCOC(=O)CCN(*)CCCCCN,*CCC(=O)OCCOC(=O)CCN(*)CCCCCCCC,*CCC(=O)OCCOC(=O)CCN(*)CC(O)CO,0.2,0.6,0.2,0.925
8568,*CCC(=O)OCCOC(=O)CCN(*)CCCCCN,*CCC(=O)OCCOC(=O)CCN(*)CCCCCCCCCC,*CCC(=O)OCCOC(=O)CCN(*)CC(O)CO,0.2,0.2,0.6,0.930333333
9064,*CCC(=O)OCCOC(=O)CCN(*)CCCCCN,*CCC(=O)OCCOC(=O)CCN(*)CC(C)(C)O,*CCC(=O)OCCOC(=O)CCN(*)C(C)C(N)=O,0.2,0.2,0.6,0.963
9306,*CCC(=O)OCCOC(=O)CCN(*)CCCCCCCCN,*CCC(=O)OCCOC(=O)CCN(*)CCCCCCCC,*CCC(=O)OCCOC(=O)CCN(*)C(C)C(N)=O,0.2,0.6,0.2,0.944666667
9600,*CCC(=O)OCCOC(=O)CCN(*)CCCCCCCCN,*CCC(=O)OCCOC(=O)CCN(*)CCC(C)C,*CCC(=O)OCCOC(=O)CCN(*)CCOCCOCCO,0.2,0.2,0.6,0.921
10346,*CCC(=O)OCCOC(=O)CCN(*)CCOCCOCCN,*CCC(=O)OCCOC(=O)CCN(*)CCCCc1ccccc1,*CCC(=O)OCCOC(=O)CCN(*)CC(O)CO,0.2,0.6,0.2,0.931333333
10508,*CCC(=O)OCCOC(=O)CCN(*)CCOCCOCCN,*CCC(=O)OCCOC(=O)CCN(*)CCC(OCC)OCC,*CCC(=O)OCCOC(=O)CCN(*)C(C)C(N)=O,0.4,0.4,0.2,0.931333333
10844,*CCC(=O)OCCOC(=O)CCN(*)CCOCCOCCOCCOCCN,*CCC(=O)OCCOC(=O)CCN(*)CCCCCCCC,*CCC(=O)OCCOC(=O)CCN(*)C(C)C(N)=O,0.4,0.4,0.2,1.019333333
10964,*CCC(=O)OCCOC(=O)CCN(*)CCOCCOCCOCCOCCN,*CCC(=O)OCCOC(=O)CCN(*)CCC1CCCCC1,*CCC(=O)OCCOC(=O)CCN(*)CCOCCOCCOCCOCCOCCO,0.4,0.4,0.2,1.006333333
11224,*CCC(=O)OCCOC(=O)CCN(*)CCOCCOCCOCCOCCN,*CCC(=O)OCCOC(=O)CCN(*)CC(CC)CCCC,*CCC(=O)OCCOC(=O)CCN(*)C(C)C(N)=O,0.2,0.2,0.6,0.998666667
11900,*CCC(=O)OCCOC(=O)CCN(*)Cc1cccc(CN)c1,*CCC(=O)OCCOC(=O)CCN(*)CCCCc1ccccc1,*CCC(=O)OCCOC(=O)CCN(*)C(C)C(N)=O,0.4,0.4,0.2,0.940333333
12018,*CCC(=O)OCCOC(=O)CCN(*)Cc1cccc(CN)c1,*CCC(=O)OCCOC(=O)CCN(*)CCC(OCC)OCC,*CCC(=O)OCCOC(=O)CCN(*)CCOCCOCCOCCOCCOCCO,0.2,0.6,0.2,0.948333333
12184,*CCC(=O)OCCOC(=O)CCN(*)Cc1cccc(CN)c1,*CCC(=O)OCCOC(=O)CCN(*)CCCOC,*CCC(=O)OCCOC(=O)CCN(*)C(C)C(N)=O,0.2,0.2,0.6,0.861666667
12383,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCN(C)C,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCCCCCCC,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)C(C)C(N)=O,0.8,0.1,0.1,0.885
13143,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCCN(CC)CC,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCCCCCCC,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CC(C)(C)C(N)=O,0.8,0.1,0.1,0.87
13151,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCCN(CC)CC,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCCCCCCC,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)C(C)C(N)=O,0.8,0.1,0.1,0.892
13510,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCCN(CC)CC,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CC(CC)CCCC,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCOCCOCCOCCOCCOCCO,0.6,0.3,0.1,0.08
15010,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCN1CCCC1,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCC(C)C,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CC(C)(C)C(N)=O,0.2,0.6,0.2,1
15426,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCN1CCCCC1,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCCCCCCC,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCOCCOCCOCCOCCOCCO,0.2,0.6,0.2,0.92
15447,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCN1CCCCC1,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCCCCCCC,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CC(C)(C)C(N)=O,0.8,0.1,0.1,0.053
15458,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCN1CCCCC1,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCCCCCCCCC,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCOCCOCCO,0.2,0.6,0.2,0.896
15466,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCN1CCCCC1,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCCCCCCCCC,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCOCCOCCOCCO,0.2,0.6,0.2,1.101666667
15476,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCN1CCCCC1,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCCCCCCCCC,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCOCCOCCOCCOCCOCCO,0.4,0.4,0.2,0.120666667
15478,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCN1CCCCC1,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCCCCCCCCC,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCOCCOCCOCCOCCOCCO,0.6,0.3,0.1,0.079
15479,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCN1CCCCC1,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCCCCCCCCC,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCOCCOCCOCCOCCOCCO,0.8,0.1,0.1,0.08
15484,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCN1CCCCC1,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCCCCCCCCC,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CC(O)CO,0.4,0.4,0.2,0.884
15544,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CCN1CCCCC1,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)CC1CCCC1,*CCC(=O)OCC(C)(C)COC(=O)CCN(*)C(C)C(N)=O,0.2,0.2,0.6,0.84
