smiles_1,smiles_2,local_1,local_2,global_1,global_2,global_3,global_4,global_5,global_6,value
*COC(=O)OC*,*CCO*,95.2,4.8,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.07,37,-3,0,1,-5.72
*COC(=O)OC*,*CCO*,95.2,4.8,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.2,37,-20,0,1,-5.19
*COC(=O)OC*,*CCO*,95.2,4.8,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.45,37,-33,0,1,-4.81
*COC(=O)OC*,*CCO*,95.2,4.8,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1.2,37,-62,0,1,-4.25
*COC(=O)OC*,*CCO*,95.2,4.8,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.06,37,-14,0,1,-5.56
*COC(=O)OC*,*CCO*,95.2,4.8,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.15,37,-20,0,1,-5.33
*COC(=O)OC*,*CCO*,95.2,4.8,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.33,37,-33,0,1,-5.23
*COC(=O)OC*,*CCO*,95.2,4.8,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.89,37,-39,0,1,-4.88
*COC(=O)OC*,*CCO*,95.2,4.8,F[B-](F)(F)F,0.17,37,-23,0,1,-6.51
*COC(=O)OC*,*CCO*,95.2,4.8,F[B-](F)(F)F,0.36,37,-29,0,1,-5.24
*COC(=O)OC*,*CCO*,95.2,4.8,F[B-](F)(F)F,0.54,37,-47,0,1,-5.08
*COC(=O)OC*,*CCO*,95.2,4.8,F[B-](F)(F)F,0.73,37,-69,0,1,-4.34
*COC(=O)OC*,*CCO*,95.2,4.8,[O-][Cl+3]([O-])([O-])[O-],0.2,37,-8,0,1,-5.3
*COC(=O)OC*,*CCO*,95.2,4.8,[O-][Cl+3]([O-])([O-])[O-],0.54,37,-28,0,1,-5.1
*COC(=O)OC*,*CCO*,95.2,4.8,[O-][Cl+3]([O-])([O-])[O-],1.21,37,-1,0,1,-5.64
*COC(=O)OC*,*CCO*,95.2,4.8,[O-][Cl+3]([O-])([O-])[O-],3.23,37,2,0,1,-6.57
