smiles,HOMO (eV),Bandgap (eV),Mw (kg/mol),PCE_ave
*c1cc(CCCCCCCCCCCCCC)c(-c2cc3sc(-c4sc(*)cc4CCCCCCCCCCCCCC)cc3s2)s1,-1.06,0.8,-0.31,2.34
*c1ccc2c3ccc(-c4ccc(-c5ccc(-c6ccc(*)s6)c6nsnc56)s4)cc3n(C(CCCCCCCC)CCCCCCCC)c2c1,0.76,0.8,-0.12,3.6
*c1cc2c(s1)-c1sc(-c3ccc(*)c4nsnc34)cc1C2(CC(CC)CCCC)CC(CC)CCCC,-0.15,-1.39,-0.3,5.12
*c1ccc(-c2ccc(-c3sc(-c4c(F)c(F)c(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c(*)s5)c5nsnc45)cc3CC(CCCCCCCC)CCCCCCCCCC)s2)s1,0.03,-0.32,0.03,10.2
*c1cc(F)c(-c2sc(-c3sc(-c4ccc(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c(*)s5)c5nsnc45)cc3CC(CCCCCCCC)CCCCCCCCCC)cc2F)s1,-0.61,-0.42,-0.27,10
*c1ccc(-c2ccc(-c3sc(-c4c(F)c(F)c(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c(*)s5)c5nsnc45)cc3CC(CCCCCCCC)CCCCCCCCCC)s2)s1,0.03,-0.32,-0.13,9
*c1ccc(-c2ccc(-c3sc(-c4c(F)c(F)c(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c(*)s5)c5nsnc45)cc3CC(CCCCCCCC)CCCCCCCCCC)s2)s1,0.03,-0.32,-0.43,7.7
*c1ccc(-c2ccc(-c3sc(-c4cc5c(cc(-c6cc(C[C@@H](CCCCCCCC)CCCCCCCCCC)c(*)s6)c6nsnc65)c5nsnc45)cc3CC(CCCCCCCC)CCCCCCCCCC)s2)s1,-0.42,-0.91,-0.29,9.7
*c1cc2c(OCC(CC)CCCC)c3sc(-c4sc(*)c5c(F)c(C(=O)CCCCCCC)sc45)cc3c(OCC(CC)CCCC)c2s1,-0.51,-0.32,-0.16,7.4
*c1cc2c(s1)-c1sc(-c3ccc(*)c4nsnc34)cc1[Si]2(CC(CC)CCCC)CC(CC)CCCC,-1.29,-1.3,-0.49,4.7
*c1ccc(-c2sc(-c3cc4c(cc(-c5cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c6ccc(*)s6)s5)c5nsnc54)c4nsnc34)cc2CC(CCCCCCCCCC)CCCCCCCCCCCC)s1,-0.88,-0.76,0.26,9.77
*c1cc(CC(CC)CCCC)c(-c2nc3sc(-c4sc(-c5cc6c(s5)-c5sc(*)cc5[Si]6(CC(CC)CCCC)CC(CC)CCCC)cc4CC(CC)CCCC)nc3s2)s1,-1.06,0.26,0.3,5.52
*c1ccc(-c2sc(-c3cc4c(cc(-c5cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c6ccc(*)s6)s5)c5nonc54)c4nonc34)cc2CC(CCCCCCCCCC)CCCCCCCCCCCC)s1,0.67,-0.95,2.35,8.5
*c1cc(CCCCCC)c(*)s1,-0.61,1.04,-0.49,4.4
*c1cc(CCCCCCCCCCCC)c(-c2ccc(-c3ccc(-c4sc(*)cc4CCCCCCCCCCCC)s3)s2)s1,-1.06,1.04,-0.57,1.15
*c1cc(CCCCCCCCCCCC)c(-c2ccc(-c3ccc(-c4sc(*)cc4CCCCCCCCCCCC)s3)s2)s1,-1.06,1.04,-0.31,0.83
*c1cc2c(-c3ccc(CC(CC)CCCC)s3)c3sc(-c4sc(*)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(-c3ccc(CC(CC)CCCC)s3)c2s1,-0.51,-0.66,0.24,7.64
*c1cc2c(-c3ccc(CC(CC)CCCC)s3)c3sc(-c4sc(*)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(-c3ccc(CC(CC)CCCC)s3)c2s1,-0.51,-0.66,-0.09,7.02
*c1cc2c(-c3ccc(CC(CC)CCCC)s3)c3sc(-c4sc(*)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(-c3ccc(CC(CC)CCCC)s3)c2s1,-0.51,-0.66,1.14,5.9
*c1cc2c(-c3ccc(CC(CC)CCCC)s3)c3sc(-c4sc(*)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(-c3ccc(CC(CC)CCCC)s3)c2s1,-0.51,-0.66,2.05,5.35
*c1cc2c(OCC(CC)CCCC)c3sc(-c4sc(*)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(OCC(CC)CCCC)c2s1,-0.83,0.02,0.05,7.4
*c1ccc(-c2cc(OCC(CCCCCC)CCCCCCCC)c(-c3ccc(-c4ccc(*)c5nsnc45)s3)cc2OCC(CCCCCC)CCCCCCCC)s1,-0.2,0.02,-0.34,4.89
*c1ccc(-c2cc(OCC(CCCCCC)CCCCCCCC)c(-c3ccc(-c4c(F)cc(*)c5nsnc45)s3)cc2OCC(CCCCCC)CCCCCCCC)s1,0.08,0.02,-0.13,5.02
*c1ccc(-c2cc(OCC(CCCCCC)CCCCCCCC)c(-c3ccc(-c4c(F)c(F)c(*)c5nsnc45)s3)cc2OCC(CCCCCC)CCCCCCCC)s1,0.53,0.22,0.21,7.06
*c1ccc2c3ccc(*)cc3n(CC(CCCCCCCCCC)CCCCCCCCCCCC)c2c1,1.21,1.38,-0.1,0.07
*/C=C/c1ccc2c3ccc(*)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,1.26,2.85,-0.62,0.4
*/C=C/c1ccc2c3ccc(/C=C/c4ccc(*)s4)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,0.85,2.36,-0.6,0.4
*/C=C/c1ccc2c3ccc(/C=C/c4sc(-c5cc(CCCCCCCC)c(*)s5)cc4CCCCCCCC)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,0.71,1.87,-0.59,0.3
*/C=C/c1ccc2c3ccc(/C=C/c4sc(-c5ccc(-c6ccc(-c7cc(CCCCCCCC)c(*)s7)s6)s5)cc4CCCCCCCC)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,0.3,1.38,-0.59,0.2
*/C=C/c1ccc2c3ccc(/C=C/c4ccc(-c5ccc(C6=C(CCCCCC)C(CCCCCC)=C(c7ccc(-c8ccc(*)s8)s7)S6(=O)=O)s5)s4)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,0.76,-0.08,-0.61,0.8
*c1ccc2c3ccc(-c4ccc(-c5ccc(-c6ccc(*)s6)c6nsnc56)s4)cc3n(C(CCCCCCCC)CCCCCCCC)c2c1,0.76,0.8,-0.26,6.1
*c1ccc2c3ccc(-c4ccc(-c5ccc(-c6ccc(*)s6)c6nonc56)s4)cc3n(C(CCCCCCCC)CCCCCCCC)c2c1,0.57,1.48,-0.55,1.8
*c1ccc2c3ccc(-c4ccc(-c5cnc(-c6ccc(*)s6)c6nccnc56)s4)cc3n(C(CCCCCCCC)CCCCCCCC)c2c1,0.85,0.85,-0.51,1.1
*c1ccc2c3ccc(-c4ccc(-c5cnc(-c6ccc(*)s6)c6nsnc56)s4)cc3n(C(CCCCCCCC)CCCCCCCC)c2c1,0.89,0.17,-0.6,0.7
*c1ccc2c3ccc(-c4ccc(-c5ccc(-c6ccc(*)s6)c6nccnc56)s4)cc3n(C(CCCCCCCC)CCCCCCCC)c2c1,0.62,0.75,-0.28,2.4
*c1ccc2c3ccc(-c4ccc(-c5cnc(-c6ccc(*)s6)c6nonc56)s4)cc3n(C(CCCCCCCC)CCCCCCCC)c2c1,0.98,-0.22,-0.6,0.8
*c1ccc2c3ccc(-c4ccc(-c5nnc(-c6ccc(*)s6)c6nonc56)s4)cc3n(C(CCCCCCCC)CCCCCCCC)c2c1,1.66,-0.71,-0.58,0.47
*c1ccc2c3ccc(-c4ccc(-c5nnc(-c6ccc(*)s6)c6nccnc56)s4)cc3n(C(CCCCCCCC)CCCCCCCC)c2c1,1.8,0.95,-0.58,0.13
*c1ccc2c3ccc(-c4ccc(-c5nnc(-c6ccc(*)s6)c6nc(CCCCCCCC)c(CCCCCCCC)nc56)s4)cc3n(C(CCCCCCCC)CCCCCCCC)c2c1,1.94,0.36,-0.59,0.37
*c1ccc2c3ccc(-c4ccc(-c5ccc(-c6ccc(*)s6)c6nsnc56)s4)cc3n(C(CCCCCCCCCC)CCCCCCCCCC)c2c1,0.67,0.02,-0.47,3.05
*c1ccc2c3ccc(-c4ccc(-c5sc(-c6ccc(*)s6)c6nc(C)c(C)nc56)s4)cc3n(C(CCCCCCCCCC)CCCCCCCCCC)c2c1,-0.42,-0.71,-0.57,1.02
*c1ccc2c3ccc(-c4ccc(-c5sc(-c6ccc(*)s6)c6nc(-c7ccccc7)c(-c7ccccc7)nc56)s4)cc3n(C(CCCCCCCCCC)CCCCCCCCCC)c2c1,-0.47,-1.25,-0.55,0.9
*c1ccc2c(c1)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc(-c3ccc(-c4ccc(-c5ccc(*)s5)c5nsnc45)s3)ccc1-2,1.03,0.65,-0.53,2.67
*c1ccc2c(c1)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc(-c3ccc(-c4sc(-c5ccc(*)s5)c5nc(C)c(C)nc45)s3)ccc1-2,-0.33,-0.52,-0.6,1.37
*c1ccc2c(c1)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc(-c3ccc(-c4sc(-c5ccc(*)s5)c5nc(-c6ccccc6)c(-c6ccccc6)nc45)s3)ccc1-2,-0.29,-0.81,-0.56,0.89
*c1ccc2c3cc4c(cc3n(C(CCCCCCCCCC)CCCCCCCCCC)c2c1)c1ccc(-c2ccc(-c3ccc(-c5ccc(*)s5)c5nsnc35)s2)cc1n4C(CCCCCCCCCC)CCCCCCCCCC,0.53,0.95,-0.4,1.47
*c1ccc2c3cc4c(cc3n(C(CCCCCCCCCC)CCCCCCCCCC)c2c1)c1ccc(-c2ccc(-c3sc(-c5ccc(*)s5)c5nc(C)c(C)nc35)s2)cc1n4C(CCCCCCCCCC)CCCCCCCCCC,-0.15,-0.32,-0.5,0.84
*c1ccc2c3cc4c(cc3n(C(CCCCCCCCCC)CCCCCCCCCC)c2c1)c1ccc(-c2ccc(-c3sc(-c5ccc(*)s5)c5nc(-c6ccccc6)c(-c6ccccc6)nc35)s2)cc1n4C(CCCCCCCCCC)CCCCCCCCCC,-0.06,-1,-0.46,1.27
*c1ccc2c3ccc(-c4ccc(-c5c6nsnc6c(-c6ccc(*)s6)c6nc(-c7ccccc7)c(-c7ccccc7)nc56)s4)cc3n(-c3ccc(N(c4ccc(OCC(CCCC)CCCCCC)cc4)c4ccc(OCC(CCCC)CCCCCC)cc4)cc3)c2c1,-2.42,-3,-0.61,0.61
*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(-c5ccc(*)s5)s4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)s1,-0.74,-2.03,0.58,4.7
*c1ccc2c3ccc(-c4ccc(C5=C6C(=O)N(CCCCCCCC)C(c7ccc(*)s7)=C6C(=O)N5CCCCCCCC)s4)cc3n(C(CCCCCCCC)CCCCCCCC)c2c1,0.3,-0.71,-0.19,3.2
*c1ccc2c3ccc(-c4ccc(C5=C6C(=O)N(CCCCCCCCCC)C(c7ccc(*)s7)=C6C(=O)N5CCCCCCCCCC)s4)cc3n(C(CCCCCCCCCC)CCCCCCCCCC)c2c1,0.3,-0.66,-0.24,3.8
*c1ccc2c(c1)[Ge](CCCC)(CCCC)c1ccc(-c3ccc(C4=C5C(=O)N(CCCCCCCC)C(c6ccc(*)s6)=C5C(=O)N4CCCCCCCC)s3)cc1-2,0.21,-0.42,-0.38,1.5
*c1ccc2c(c1)[Ge](CCCCCCCC)(CCCCCCCC)c1cc(-c3ccc(C4=C5C(=O)N(CCCCCCCC)C(c6ccc(*)s6)=C5C(=O)N4CCCCCCCC)s3)ccc1-2,0.21,-0.37,-0.29,1.2
*c1ccc2c(c1)[Ge](CCCCCCCC)(CCCCCCCC)c1ccc(-c3ccc(-c4ccc(-c5ccc(*)s5)c5nsnc45)s3)cc1-2,0.21,0.36,-0.47,2.8
*c1ccc2c3ccc(-c4ccc(C5=C6C(=O)N(CC(CC)CCCC)C(c7ccc(*)s7)=C6C(=O)N5CC(CC)CCCC)s4)cc3n(C(CCCCCCCCCC)CCCCCCCCCC)c2c1,0.39,-0.42,0.51,2.26
*c1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1cc(-c3ccc(C4=C5C(=O)N(CCCCCCCC)C(c6ccc(*)s6)=C5C(=O)N4CCCCCCCC)s3)ccc1-2,0.08,0.17,-0.45,0.88
*c1ccc(C2=C3C(=O)N(C[C@H](CC)CCCC)C(c4ccc(-c5cc6c(s5)c5sc(*)cc5n6C(CC(CC)CCCC)C[C@H](CC)CCCC)s4)=C3C(=O)N2C[C@H](CC)CCCC)s1,-1.42,-2.85,-0.54,1.12
*c1ccc(C2=C3C(=O)N(CCCC)C(c4ccc(-c5cc6c(s5)c5sc(*)cc5n6C(CC(CC)CCCC)C[C@H](CC)CCCC)s4)=C3C(=O)N2CCCC)s1,-1.97,-2.85,-0.37,2.71
